,colour2,colour1,sub_category,category_id,type,user_id,brand,buyer,month,price_id,price,date
66209,0,0,5,12,8,3851,2,0,6,9929,68.36,2021-07-21
66210,0,0,5,12,8,3775,2,0,6,9929,72.47,2021-07-21
66211,0,0,3,11,8,3953,0,0,6,6315,164.25,2021-07-21
66212,0,0,6,10,8,807,1,0,6,10185,342.33,2021-07-22
66214,0,0,5,12,8,296,1,0,6,12853,410.82,2021-07-22
66217,0,0,6,10,8,3337,0,0,6,10934,431.37,2021-07-22
66218,0,2,6,10,11,3845,0,0,6,12854,316.3,2021-07-22
66219,0,0,5,12,8,4122,2,0,6,12632,45.07,2021-07-22
66220,0,0,6,10,11,1831,0,0,6,10262,166.99,2021-07-22
66221,0,0,3,11,11,1927,0,0,6,10262,201.23,2021-07-22
66223,0,0,3,11,8,3882,1,0,6,12855,79.32,2021-07-22
66224,0,0,5,12,8,3059,2,0,6,12856,34.36,2021-07-22
66228,0,0,3,11,27,1503,1,0,6,5961,246.44,2021-07-22
66229,0,0,3,11,14,4016,2,0,6,5961,349.18,2021-07-22
66233,0,0,6,10,8,3895,2,0,6,16801,520.41,2021-07-22
66235,0,0,6,10,8,13,1,0,6,10276,1232.74,2021-07-22
66236,0,0,6,10,11,2203,1,0,6,1458,174.49,2021-07-22
66237,0,0,5,12,11,2711,0,0,6,1458,244.4,2021-07-22
66239,0,0,6,10,8,3033,0,0,6,1458,171.95,2021-07-22
66240,0,0,2,7,8,328,6,0,6,1458,719.18,2021-07-22
66241,0,0,6,10,11,4034,0,0,6,1458,254.66,2021-07-22
66242,0,0,3,11,8,2471,1,0,6,1458,200.6,2021-07-22
66243,0,0,0,9,27,3700,0,0,6,1458,62.97,2021-07-22
66245,0,0,1,14,8,4032,2,0,6,12860,82.05,2021-07-22
66246,0,2,6,10,8,4067,2,0,6,12037,266.99,2021-07-22
66247,0,0,3,11,8,4149,1,0,6,12171,138.22,2021-07-22
66248,0,2,6,10,8,4149,0,0,6,12291,403.97,2021-07-22
66250,0,0,6,10,18,2091,1,0,6,5961,280.68,2021-07-22
66251,0,0,3,11,2,1944,1,0,6,5961,3006.71,2021-07-22
66252,0,2,3,11,23,3895,1,0,6,1458,212.19,2021-07-22
66253,0,0,3,11,19,2314,0,0,6,11683,671.1,2021-07-22
66254,0,0,3,11,27,4354,1,0,6,12860,150.55,2021-07-22
66255,0,0,3,11,8,2783,0,0,6,239,561.51,2021-07-22
66256,0,0,6,10,8,3718,0,0,6,239,362.88,2021-07-22
66258,0,0,0,9,27,1973,1,0,6,12790,1232.74,2021-07-22
66259,0,0,3,11,27,1980,1,0,6,7805,3102.6,2021-07-22
66260,0,2,0,9,11,4054,0,0,6,10098,151.92,2021-07-22
66261,0,0,5,12,8,2503,2,0,6,9612,50.55,2021-07-22
